Dataset,Ntest,T,Alpha_t,Alpha,Exact_Alpha_t,Ratio,Ratio_+-_10%,Ratio_+-_20%,Alpha_10%,Alpha_20%,Earliness.SVM,Accuracy.SVM,Cost.SVM_10%,Cost.SVM_20%,Earliness.GP,Accuracy.GP,Cost.GP_10%,Cost.GP_20%
50Words,455,270,0.0005,0.9,0.00041,82%,FALSE,TRUE,NA,0.9,61.07%,0.59,NA,224.0622475,53.38%,0.65,NA,192.038665
50Words,455,270,0.001,0.8,0.00093,93%,TRUE,TRUE,0.8,0.8,40.08%,0.51,272.18828,272.18828,39.51%,0.62,221.438035,221.438035
50Words,455,270,0.005,0.4,0.00556,111%,FALSE,TRUE,NA,0.4,5.00%,0.23,NA,381.0625,7.18%,0.33,NA,348.95315
50Words,455,270,0.01,0.3,0.00864,86%,FALSE,TRUE,NA,0.3,5.00%,0.23,NA,411.775,5.79%,0.33,NA,375.98015
Trace,100,275,0.0005,0.9,0.00040,81%,FALSE,TRUE,NA,0.9,43.70%,0.68,NA,38.00875,36.00%,0.8,NA,24.95
Trace,100,275,0.001,0.8,0.00091,91%,TRUE,TRUE,0.8,0.8,37.15%,0.66,44.21625,44.21625,36.65%,0.8,30.07875,30.07875
Trace,100,275,0.005,0.4,0.00545,109%,TRUE,TRUE,0.4,0.4,5.00%,0.71,35.875,35.875,5.10%,0.68,39.0125,39.0125
Trace,100,275,0.01,0.3,0.00848,85%,FALSE,TRUE,NA,0.3,5.00%,0.71,NA,42.75,5.10%,0.68,NA,46.025
Coffee,28,286,0.0005,0.9,0.00039,78%,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coffee,28,286,0.001,0.8,0.00087,87%,FALSE,TRUE,NA,0.8,11.43%,0.57,NA,12.9553144,46.96%,0.93,NA,5.7205568
Coffee,28,286,0.005,0.4,0.00524,105%,TRUE,TRUE,0.4,0.4,13.37%,0.57,17.393348,17.393348,5.36%,0.39,19.226144,19.226144
Coffee,28,286,0.01,0.3,0.00816,82%,FALSE,TRUE,NA,0.3,10.00%,0.61,NA,18.928,5.36%,0.39,NA,21.372288
ChlorineConcentration,3840,166,0.0005,0.9,0.00067,134%,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChlorineConcentration,3840,166,0.001,0.8,0.00151,151%,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChlorineConcentration,3840,166,0.005,0.6,0.00402,80%,FALSE,TRUE,NA,0.6,5.38%,0.55,NA,1899.47136,5.34%,0.56,NA,1859.79648
ChlorineConcentration,3840,166,0.01,0.4,0.00904,90%,TRUE,TRUE,0.4,0.4,5.06%,0.55,2050.54464,2050.54464,5.00%,0.56,2008.32,2008.32
Cricket_X,390,300,0.0005,0.9,0.00037,74%,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Cricket_X,390,300,0.001,0.7,0.00143,143%,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Cricket_X,390,300,0.005,0.4,0.00500,100%,TRUE,TRUE,0.4,0.4,22.69%,0.22,436.9365,436.9365,24.81%,0.55,320.6385,320.6385
Cricket_X,390,300,0.01,0.2,0.01333,133%,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Cricket_Y,390,300,0.0005,0.9,0.00037,74%,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Cricket_Y,390,300,0.001,0.7,0.00143,143%,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Cricket_Y,390,300,0.005,0.4,0.00500,100%,TRUE,TRUE,0.4,0.4,17.14%,0.52,287.469,287.469,21.49%,0.57,293.4165,293.4165
Cricket_Y,390,300,0.01,0.2,0.01333,133%,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Cricket_Z,390,300,0.0005,0.9,0.00037,74%,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Cricket_Z,390,300,0.001,0.7,0.00143,143%,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Cricket_Z,390,300,0.005,0.4,0.00500,100%,TRUE,TRUE,0.4,0.4,23.71%,0.32,403.9035,403.9035,20.67%,0.53,304.2195,304.2195
Cricket_Z,390,300,0.01,0.2,0.01333,133%,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
ECG200,100,96,0.0005,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
ECG200,100,96,0.001,0.9,0.00116,116%,FALSE,TRUE,NA,0.9,32.90%,0.86,NA,17.1584,25.60%,0.88,NA,14.4576
ECG200,100,96,0.005,0.7,0.00446,89%,FALSE,TRUE,NA,0.7,5.65%,0.74,NA,28.712,7.30%,0.84,NA,19.504
ECG200,100,96,0.01,0.5,0.01042,104%,TRUE,TRUE,0.5,0.5,5.60%,0.74,31.376,31.376,5.00%,0.82,22.8,22.8
FaceAll,1690,131,0.0005,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
FaceAll,1690,131,0.001,0.9,0.00085,85%,FALSE,TRUE,NA,0.9,47.15%,0.67,NA,662.085385,38.02%,0.88,NA,286.972478
FaceAll,1690,131,0.005,0.6,0.00509,102%,TRUE,TRUE,0.6,0.6,21.09%,0.61,892.555755,892.555755,22.51%,0.84,519.574445,519.574445
FaceAll,1690,131,0.01,0.4,0.01145,115%,FALSE,TRUE,NA,0.4,5.00%,0.5,NA,955.695,13.39%,0.76,NA,702.04121
Lighting2,61,637,0.0005,0.8,0.00039,78%,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Lighting2,61,637,0.001,0.6,0.00105,105%,TRUE,TRUE,0.6,0.6,5.00%,0.66,22.68285,22.68285,5.00%,0.66,22.68285,22.68285
Lighting2,61,637,0.005,0.2,0.00628,126%,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Lighting2,61,637,0.01,0.1,0.01413,141%,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MoteStrain,1252,84,0.0005,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MoteStrain,1252,84,0.001,0.9,0.00132,132%,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MoteStrain,1252,84,0.005,0.7,0.00510,102%,TRUE,TRUE,0.7,0.7,18.12%,0.82,320.642208,320.642208,7.60%,0.78,315.40384,315.40384
MoteStrain,1252,84,0.01,0.5,0.01190,119%,FALSE,TRUE,NA,0.5,18.25%,0.82,NA,417.2916,7.60%,0.78,NA,355.36768
OSULeaf,242,427,0.0005,0.8,0.00059,117%,FALSE,TRUE,NA,0.8,22.40%,0.45,NA,144.673408,16.45%,0.5,NA,129.4992215
